balance,transaction,received,sent,midtime,class
808,142828,51573901454664,51573901453856,65726,1
2500,86564,38981155094655,38981155092155,120030,1
91689978,2924,32684080222,32592390244,2825,1
404055099,4244,93453806226,93049751127,2689,1
46085585076,20484,10033550413757,9987464828681,499,1
56090850371,41601,6941925361415,6885834511044,402,1
5430794,2451,6219610,788816,2736,1
139014,1126,707624,568610,2414,1
294840,1139,798770,503930,2836,1
164346,538,532052,367706,27466,1
0,3,303824,303824,3380992,1
193284,845,635120,441836,22827,1
11466,30,278740,267274,244037,1
104286,264,356738,252452,63105,1
210644,158,413920,203276,62313,1
212658,162,428492,215834,63805,1
0,2,2771,2771,0,0
299999871406,2,299999871406,0,11701283,0
80313802,130989,5821705387522,5821625073720,1606,0
0,2,180701,180701,257,0
42186093,4908,1094601105,1052415012,0,0
0,2,4617991,4617991,80473,0
0,200,977856,977856,35,0
0,0,0,0,0,0
6358036,41,25095013,18736977,48732,0
0,2,6322,6322,1119,0
1683800,1832,290535720,288851920,47072,0
7075782,8783,3496532861,3489457079,3172,0
17171,1,17171,0,0,0
0,2,349018,349018,58,0
1486970,1,1486970,0,0,0
1710175,439,423449956,421739781,1747,0
0,2,6322,6322,1128,0
166081042,888,550417558,384336516,8806,0
0,2,1684278,1684278,475,0
0,2,1642111,1642111,1198,0
299999852710,2,299999852710,0,11672547,0
1594150,224,78957060,77362910,952,0
3771598,16,9509598,5738000,162423,0
0,2,5736000,5736000,2466,0
0,2,7227730,7227730,52730,0
0,0,0,0,0,0
0,2,477508,477508,14755,0
293429,1,293429,0,0,0
0,2,5883,5883,18,0
0,2,577133,577133,91805,0
0,4,1088778,1088778,30918,0
8034108,10327,967965931,959931823,32,0
13129,1933,288403369,288390240,1979,0
0,2,473130,473130,92127,0
0,2,4819273,4819273,145891,0
0,0,0,0,0,0
0,2,278358,278358,885,0
464056,69,17608575,17144519,5150,0
119002518,18,299392178,180389660,77974,0
0,0,0,0,0,0
1000,5,1075600,1074600,24161,0
0,2,6018,6018,964,0
0,2,2771,2771,0,0
493494,1,493494,0,0,0
0,2,38807,38807,70604,0
0,5,91991,91991,15524,0
2114097,372,71143320,69029223,7668,0
0,25,126192,126192,0,0
527437,29,3113547,2586110,397036,0
0,2,30686800,30686800,5200,0
158778,1,158778,0,0,0
